"PUBLISHER_ID","NAME","TEMP_PUB_ID","COMMERCIAL_NAME","ADDRESS"
12784,"Лазер",12784,"",""
12785,"Wiley",12785,"",""
12786,"Издательство Ленинградского университета",12786,"",""
12787,"Алаш",12787,"",""
12788,"Сөздік-Словарь",12788,"",""
12789,"Сулейман Демирел атындағы университет",12789,"",""
12790,"Ataturk kultur, dil ve tarih Yyuksek kurumu",12790,"",""
12791,"Longman group UK Limited",12791,"",""
12792,"КИСИ",12792,"",""
12793,"balkanoglu matbaacilik",12793,"",""
12794,"Издательство ""Наука"" главная редакция физико-математической литературы",12794,"",""
12795,"the office of information and press. NATO",12795,"",""
12796,"Дружба народов",12796,"",""
12797,"Semih Ofset,",12797,"",""
12798,"Финансы и статистика",12798,"",""
12799,"Дрофа",12799,"",""
12800,"Узбекистан",12800,"",""
12801,"Alfa",12346,"",""
12802,"HYB",12802,"",""
12803,"Военное издательство Министерства обороны СССР",12803,"",""
12804,"Учитель Казахстан",12804,"",""
12805,"Rutten&Leoning",12805,"",""
12806,"Penguin Readers",12806,"",""
12807,"Ahmet yesevi vakfi",12807,"",""
12808,"Легкая и пищевая промышленность",12808,"",""
12809,"Esem yayincilik",12809,"",""
12810,"Ecek Yayincilik",12810,"",""
12811,"Радяньска школа",12811,"",""
12812,"Қазақстан Республикасы білім беру министірлігі",12812,"",""
12813,"Қазақтың мемлекеттік көркем әдебиет",12813,"",""
12814,"University of California",12814,"",""
12815,"dilset yayinlari",12815,"",""
12816,"Isik yayinlari",12816,"",""
12817,"Узбекистон ССР ""ФАН"" нашриети",12817,"",""
12818,"ХАНТ",12818,"",""
12819,"Кыргызстан",12819,"",""
12820,"Иностранной литературы",12820,"",""
12821,"Машиностроение",12821,"",""
12822,"Верх-Волж.кн.изд-во",12822,"",""
12823,"Көркем Әдебиет",12823,"",""
