"INV_ID","PRINT_DATE","WEB_LOG","INVENTORY_NO"
68490,,,68490
68491,,,68491
68492,,,68492
68493,,,68493
68494,,,68494
68495,,,68495
68496,,,68496
68497,,,68497
68498,,,68498
68499,,,68499
68500,,,68500
68501,,,68501
68502,,,68502
68503,,,68503
68504,,,68504
68505,,,68505
68506,,,68506
68507,,,68507
68508,,,68508
84310,,,84310
84311,,,84311
84312,,,84312
84313,,,84313
84314,,,84314
84315,,,84315
84316,,,84316
84317,,,84317
84318,,,84318
84319,,,84319
84320,,,84320
84321,,,84321
84322,,,84322
84323,,,84323
84324,,,84324
84325,,,84325
84326,,,84326
84327,,,84327
84328,,,84328
84329,,,84329
84330,,,84330
84331,,,84331
84332,,,84332
84333,,,84333
84334,,,84334
84335,,,84335
84336,,,84336
84337,,,84337
84338,,,84338
84339,,,84339
84340,,,84340
84341,,,84341
84342,,,84342
84343,,,84343
84344,,,84344
84345,,,84345
84346,,,84346
84347,,,84347
84348,,,84348
84349,,,84349
84350,,,84350
84351,,,84351
84352,,,84352
84353,,,84353
84354,,,84354
84355,,,84355
84356,,,84356
84357,,,84357
84358,,,84358
84359,,,84359
84360,,,84360
84361,,,84361
84362,,,84362
84363,,,84363
84364,,,84364
84365,,,84365
84366,,,84366
84367,,,84367
84368,,,84368
84369,,,84369
84370,,,84370
84371,,,84371
84372,,,84372
84373,,,84373
84374,,,84374
84375,,,84375
84376,,,84376
84377,,,84377
84378,,,84378
84379,,,84379
84380,,,84380
84381,,,84381
84382,,,84382
84383,,,84383
84384,,,84384
84385,,,84385
84386,,,84386
84387,,,84387
84388,,,84388
84389,,,84389
84390,,,84390
84391,,,84391
84392,,,84392
84393,,,84393
84394,,,84394
84395,,,84395
84396,,,84396
84397,,,84397
84398,,,84398
84399,,,84399
84400,,,84400
84401,,,84401
84402,,,84402
84403,,,84403
84404,,,84404
84405,,,84405
84406,,,84406
84407,,,84407
84408,,,84408
84409,,,84409
84410,,,84410
84411,,,84411
84412,,,84412
84413,,,84413
84414,,,84414
84415,,,84415
84416,,,84416
84417,,,84417
84418,,,84418
84419,,,84419
84420,,,84420
84421,,,84421
84422,,,84422
84423,,,84423
84424,,,84424
84425,,,84425
84426,,,84426
84427,,,84427
84428,,,84428
84429,,,84429
84430,,,84430
84431,,,84431
84432,,,84432
84433,,,84433
84434,,,84434
84435,,,84435
84436,,,84436
84437,,,84437
84438,,,84438
84439,,,84439
84440,,,84440
84441,,,84441
76797,,,76797
76798,,,76798
76799,,,76799
76800,,,76800
76801,,,76801
76802,,,76802
76803,,,76803
76804,,,76804
76805,,,76805
76806,,,76806
76807,,,76807
76808,,,76808
76809,,,76809
76810,,,76810
76811,,,76811
76812,,,76812
76813,,,76813
76814,,,76814
76815,,,76815
76816,,,76816
76817,,,76817
76818,,,76818
76819,,,76819
76820,,,76820
76821,,,76821
76822,,,76822
76823,,,76823
76824,,,76824
76825,,,76825
76826,,,76826
76827,,,76827
76828,,,76828
76829,,,76829
76830,,,76830
76831,,,76831
76832,,,76832
76833,,,76833
76834,,,76834
76835,,,76835
76836,,,76836
76837,,,76837
76838,,,76838
76839,,,76839
76840,,,76840
76841,,,76841
76842,,,76842
76843,,,76843
76844,,,76844
76845,,,76845
76846,,,76846
76847,,,76847
76848,,,76848
76849,,,76849
76850,,,76850
76851,,,76851
76852,,,76852
76853,,,76853
76854,,,76854
76855,,,76855
76856,,,76856
76857,,,76857
76858,,,76858
76859,,,76859
76860,,,76860
76861,,,76861
76862,,,76862
76863,,,76863
76864,,,76864
76865,,,76865
76866,,,76866
76867,,,76867
